City,Latitude,Longitude,State,Region
Abilene,32.95N,100.53W,Texas,South
Akron,40.99N,80.95W,Ohio,Midwest
Albuquerque,34.56N,107.03W,New Mexico,West
Alexandria,39.38N,76.99W,Maryland,South
Allentown,40.99N,74.56W,New Jersey,Northeast
Amarillo,34.56N,101.19W,Texas,South
Anaheim,32.95N,117.77W,California,West
Anchorage,61.88N,151.13W,Alaska,West
Ann Arbor,42.59N,82.91W,Michigan,Midwest
Antioch,37.78N,122.03W,California,West
Arlington,39.38N,76.99W,Maryland,South
Arlington,32.95N,96.70W,Texas,South
Arvada,39.38N,106.13W,Colorado,West
Atlanta,34.56N,83.68W,Georgia,South
Aurora,40.99N,87.34W,Indiana,Midwest
Aurora,39.38N,104.05W,Colorado,West
Austin,29.74N,97.85W,Texas,South
Bakersfield,36.17N,119.34W,California,West
Baltimore,39.38N,76.99W,Maryland,South
Baton Rouge,29.74N,90.46W,Louisiana,South
Beaumont,29.74N,94.15W,Texas,South
Bellevue,47.42N,121.97W,Washington,West
Berkeley,37.78N,122.03W,California,West
Birmingham,32.95N,87.13W,Alabama,South
Boston,42.59N,72.00W,Massachusetts,Northeast
Bridgeport,40.99N,72.43W,New York,Northeast
Brownsville,26.52N,96.72W,Texas,South
Buffalo,42.59N,78.55W,New York,Northeast
Burbank,34.56N,118.70W,California,West
Cambridge,42.59N,72.00W,Massachusetts,Northeast
Cape Coral,26.52N,82.39W,Florida,South
Carrollton,32.95N,96.70W,Texas,South
Cary,36.17N,79.56W,North Carolina,South
Cedar Rapids,42.59N,91.64W,Iowa,Midwest
Chandler,32.95N,112.02W,Arizona,West
Charleston,32.95N,79.47W,South Carolina,South
Charlotte,34.56N,81.73W,South Carolina,South
Chattanooga,34.56N,85.62W,Alabama,South
Chesapeake,36.17N,75.58W,North Carolina,South
Chicago,42.59N,87.27W,Illinois,Midwest
Chula Vista,32.95N,117.77W,California,West
Cincinnati,39.38N,85.32W,Indiana,Midwest
Clarksville,36.17N,87.51W,Tennessee,South
Clearwater,28.13N,82.73W,Florida,South
Cleveland,40.99N,80.95W,Ohio,Midwest
Colorado Springs,39.38N,104.05W,Colorado,West
Columbia,34.56N,81.73W,South Carolina,South
Columbus,39.38N,83.24W,Ohio,Midwest
Columbus,32.95N,85.21W,Alabama,South
Concord,37.78N,122.03W,California,West
Coral Springs,26.52N,80.60W,Florida,South
Corona,32.95N,117.77W,California,West
Corpus Christi,28.13N,97.27W,Texas,South
Costa Mesa,32.95N,117.77W,California,West
Dallas,32.95N,96.70W,Texas,South
Dayton,39.38N,83.24W,Ohio,Midwest
Denton,32.95N,96.70W,Texas,South
Denver,39.38N,104.05W,Colorado,West
Des Moines,40.99N,93.73W,Iowa,Midwest
Detroit,42.59N,82.91W,Michigan,Midwest
Downey,34.56N,118.70W,California,West
Durham,36.17N,79.56W,North Carolina,South
East Los Angeles,34.56N,118.70W,California,West
Edison,40.99N,74.56W,New Jersey,Northeast
El Monte,34.56N,118.70W,California,West
El Paso,31.35N,105.55W,Texas,South
Elizabeth,40.99N,74.56W,New Jersey,Northeast
Escondido,32.95N,117.77W,California,West
Eugene,44.20N,122.98W,Oregon,West
Evansville,37.78N,87.46W,Kentucky,South
Fairfield,37.78N,122.03W,California,West
Fayetteville,34.56N,79.78W,South Carolina,South
Flint,42.59N,82.91W,Michigan,Midwest
Fontana,34.56N,116.76W,California,West
Fort Collins,40.99N,104.38W,Colorado,West
Fort Lauderdale,26.52N,80.60W,Florida,South
Fort Wayne,40.99N,85.21W,Indiana,Midwest
Fort Worth,32.95N,96.70W,Texas,South
Fremont,37.78N,122.03W,California,West
Fresno,36.17N,119.34W,California,West
Fullerton,32.95N,117.77W,California,West
Gainesville,29.74N,83.08W,Florida,South
Garden Grove,32.95N,117.77W,California,West
Garland,32.95N,96.70W,Texas,South
Gilbert,32.95N,112.02W,Arizona,West
Glendale,34.56N,118.70W,California,West
Glendale,32.95N,112.02W,Arizona,West
Grand Prairie,32.95N,96.70W,Texas,South
Grand Rapids,42.59N,85.09W,Michigan,Midwest
Green Bay,44.20N,87.20W,Michigan,Midwest
Greensboro,36.17N,79.56W,North Carolina,South
Hampton,36.17N,75.58W,North Carolina,South
Hartford,40.99N,72.43W,New York,Northeast
Hayward,37.78N,122.03W,California,West
Henderson,36.17N,115.36W,Nevada,West
Hialeah,26.52N,80.60W,Florida,South
Highlands Ranch,39.38N,104.05W,Colorado,West
Hollywood,26.52N,80.60W,Florida,South
Houston,29.74N,96.00W,Texas,South
Huntington Beach,32.95N,117.77W,California,West
Huntsville,34.56N,85.62W,Alabama,South
Independence,39.38N,93.64W,Missouri,Midwest
Indianapolis,39.38N,85.32W,Indiana,Midwest
Inglewood,34.56N,118.70W,California,West
Irvine,32.95N,117.77W,California,West
Irving,32.95N,96.70W,Texas,South
Jackson,32.95N,90.96W,Mississippi,South
Jacksonville,29.74N,81.23W,Florida,South
Jersey City,40.99N,74.56W,New Jersey,Northeast
Joliet,40.99N,87.34W,Indiana,Midwest
Kansas City,39.38N,93.64W,Missouri,Midwest
Killeen,31.35N,98.01W,Texas,South
Knoxville,36.17N,83.54W,Tennessee,South
