City,Latitude,Longitude,State
Abilene,32.95N,100.53W,Texas
Akron,40.99N,80.95W,Ohio
Albuquerque,34.56N,107.03W,New Mexico
Alexandria,39.38N,76.99W,Maryland
Allentown,40.99N,74.56W,New Jersey
Amarillo,34.56N,101.19W,Texas
Anaheim,32.95N,117.77W,California
Anchorage,61.88N,151.13W,Alaska
Ann Arbor,42.59N,82.91W,Michigan
Antioch,37.78N,122.03W,California
Arlington,39.38N,76.99W,Maryland
Arlington,32.95N,96.70W,Texas
Arvada,39.38N,106.13W,Colorado
Atlanta,34.56N,83.68W,Georgia
Aurora,40.99N,87.34W,Indiana
Aurora,39.38N,104.05W,Colorado
Austin,29.74N,97.85W,Texas
Bakersfield,36.17N,119.34W,California
Baltimore,39.38N,76.99W,Maryland
Baton Rouge,29.74N,90.46W,Louisiana
Beaumont,29.74N,94.15W,Texas
Bellevue,47.42N,121.97W,Washington
Berkeley,37.78N,122.03W,California
Birmingham,32.95N,87.13W,Alabama
Boston,42.59N,72.00W,Massachusetts
Bridgeport,40.99N,72.43W,New York
Brownsville,26.52N,96.72W,Texas
Buffalo,42.59N,78.55W,New York
Burbank,34.56N,118.70W,California
Cambridge,42.59N,72.00W,Massachusetts
Cape Coral,26.52N,82.39W,Florida
Carrollton,32.95N,96.70W,Texas
Cary,36.17N,79.56W,North Carolina
Cedar Rapids,42.59N,91.64W,Iowa
Chandler,32.95N,112.02W,Arizona
Charleston,32.95N,79.47W,South Carolina
Charlotte,34.56N,81.73W,South Carolina
Chattanooga,34.56N,85.62W,Alabama
Chesapeake,36.17N,75.58W,North Carolina
Chicago,42.59N,87.27W,Illinois
Chula Vista,32.95N,117.77W,California
Cincinnati,39.38N,85.32W,Indiana
Clarksville,36.17N,87.51W,Tennessee
Clearwater,28.13N,82.73W,Florida
Cleveland,40.99N,80.95W,Ohio
Colorado Springs,39.38N,104.05W,Colorado
Columbia,34.56N,81.73W,South Carolina
Columbus,39.38N,83.24W,Ohio
Columbus,32.95N,85.21W,Alabama
Concord,37.78N,122.03W,California
Coral Springs,26.52N,80.60W,Florida
Corona,32.95N,117.77W,California
