,dt,AverageTemperature,AverageTemperatureUncertainty,City,Latitude,Longitude,CityIndex,State
0,1850-01-01,7.128,2.028,Abilene,32.95N,100.53W,0,Texas
1,1850-02-01,7.026,2.265,Abilene,32.95N,100.53W,0,Texas
2,1850-03-01,11.499,3.126,Abilene,32.95N,100.53W,0,Texas
3,1850-04-01,15.107,2.536,Abilene,32.95N,100.53W,0,Texas
4,1850-05-01,19.657,1.307,Abilene,32.95N,100.53W,0,Texas
5,1850-06-01,24.846,1.048,Abilene,32.95N,100.53W,0,Texas
6,1850-07-01,27.762,1.315,Abilene,32.95N,100.53W,0,Texas
7,1850-08-01,28.838,1.598,Abilene,32.95N,100.53W,0,Texas
8,3/1/88,4.256,0.429,West Jordan,40.99N,112.90W,1,Utah
9,4/1/88,10.278,0.259,West Jordan,40.99N,112.90W,1,Utah
10,5/1/88,14.291,0.274,West Jordan,40.99N,112.90W,1,Utah
11,6/1/88,22.6,0.461,West Jordan,40.99N,112.90W,1,Utah
12,7/1/88,25.936,0.387,West Jordan,40.99N,112.90W,1,Utah
13,8/1/88,23.77,0.416,West Jordan,40.99N,112.90W,1,Utah
14,9/1/88,17.195,0.363,West Jordan,40.99N,112.90W,1,Utah
15,10/1/88,14.803,0.443,West Jordan,40.99N,112.90W,1,Utah
16,11/1/88,3.607,0.798,West Jordan,40.99N,112.90W,1,Utah
17,12/1/88,-2.79,0.385,West Jordan,40.99N,112.90W,1,Utah
18,1/1/89,-5.29,0.982,West Jordan,40.99N,112.90W,1,Utah
19,2/1/89,-3.28,0.844,West Jordan,40.99N,112.90W,1,Utah
20,3/1/89,6.649,0.41,West Jordan,40.99N,112.90W,1,Utah
21,4/1/89,11.757,0.415,West Jordan,40.99N,112.90W,1,Utah
22,10/1/11,12.001,0.23,Yonkers,40.99N,74.56W,2,New York
23,11/1/11,8.013,0.298,Yonkers,40.99N,74.56W,2,New York
24,12/1/11,2.987,0.466,Yonkers,40.99N,74.56W,2,New York
25,1/1/12,-0.041,0.493,Yonkers,40.99N,74.56W,2,New York
26,2/1/12,2.185,0.253,Yonkers,40.99N,74.56W,2,New York
27,3/1/12,8.734,0.276,Yonkers,40.99N,74.56W,2,New York
28,4/1/12,10.324,0.258,Yonkers,40.99N,74.56W,2,New York
29,5/1/12,17.779,0.301,Yonkers,40.99N,74.56W,2,New York
30,6/1/12,20.165,0.39,Yonkers,40.99N,74.56W,2,New York
31,7/1/12,24.479,0.403,Yonkers,40.99N,74.56W,2,New York
32,8/1/12,22.731,0.224,Yonkers,40.99N,74.56W,2,New York
33,9/1/12,18.177,0.269,Yonkers,40.99N,74.56W,2,New York
34,10/1/12,12.436,0.344,Yonkers,40.99N,74.56W,2,New York
